fixture,type,department,section,shelf,facing,x,y,depth,width
BULK,Bulk bin wall,Sales floor,11,1,1,1.5,53.50,3,
BULK,Bulk bin wall,Sales floor,11,1,2,1.5,53.50,3,
BULK,Bulk bin wall,Sales floor,11,2,1,1.5,53.50,3,
BULK,Bulk bin wall,Sales floor,11,2,2,1.5,53.50,3,
BULK,Bulk bin wall,Sales floor,11,3,1,1.5,53.50,3,
BULK,Bulk bin wall,Sales floor,11,3,2,1.5,53.50,3,
BULK,Bulk bin wall,Sales floor,11,4,1,1.5,53.50,3,
BULK,Bulk bin wall,Sales floor,11,4,2,1.5,53.50,3,
BULK,Bulk bin wall,Sales floor,12,1,1,1.5,56.50,3,
BULK,Bulk bin wall,Sales floor,12,1,2,1.5,56.50,3,
BULK,Bulk bin wall,Sales floor,12,2,1,1.5,56.50,3,
BULK,Bulk bin wall,Sales floor,12,2,2,1.5,56.50,3,
BULK,Bulk bin wall,Sales floor,12,3,1,1.5,56.50,3,
BULK,Bulk bin wall,Sales floor,12,3,2,1.5,56.50,3,
BULK,Bulk bin wall,Sales floor,12,4,1,1.5,56.50,3,
BULK,Bulk bin wall,Sales floor,12,4,2,1.5,56.50,3,
WALL,Wall shelving,Sales floor,1,1,1,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,1,2,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,1,3,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,2,1,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,2,2,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,2,3,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,3,1,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,3,2,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,3,3,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,4,1,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,4,2,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,4,3,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,5,1,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,5,2,1.5,7.00,3,
WALL,Wall shelving,Sales floor,1,5,3,1.5,7.00,3,
WALL,Wall shelving,Sales floor,2,1,1,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,1,2,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,1,3,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,2,1,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,2,2,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,2,3,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,3,1,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,3,2,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,3,3,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,4,1,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,4,2,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,4,3,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,5,1,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,5,2,1.5,11.00,3,
WALL,Wall shelving,Sales floor,2,5,3,1.5,11.00,3,
WALL,Wall shelving,Sales floor,3,1,1,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,1,2,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,1,3,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,2,1,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,2,2,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,2,3,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,3,1,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,3,2,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,3,3,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,4,1,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,4,2,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,4,3,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,5,1,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,5,2,1.5,15.00,3,
WALL,Wall shelving,Sales floor,3,5,3,1.5,15.00,3,
G1,Gondola run,Sales floor,1,1,1,14,24.00,4,
G1,Gondola run,Sales floor,1,1,2,14,24.00,4,
G1,Gondola run,Sales floor,1,1,3,14,24.00,4,
G1,Gondola run,Sales floor,1,2,1,14,24.00,4,
G1,Gondola run,Sales floor,1,2,2,14,24.00,4,
G1,Gondola run,Sales floor,1,2,3,14,24.00,4,
G1,Gondola run,Sales floor,1,3,1,14,24.00,4,
G1,Gondola run,Sales floor,1,3,2,14,24.00,4,
G1,Gondola run,Sales floor,1,3,3,14,24.00,4,
G1,Gondola run,Sales floor,1,4,1,14,24.00,4,
G1,Gondola run,Sales floor,1,4,2,14,24.00,4,
G1,Gondola run,Sales floor,1,4,3,14,24.00,4,
G1,Gondola run,Sales floor,1,5,1,14,24.00,4,
G1,Gondola run,Sales floor,1,5,2,14,24.00,4,
G1,Gondola run,Sales floor,1,5,3,14,24.00,4,
G1,Gondola run,Sales floor,2,1,1,14,28.00,4,
G1,Gondola run,Sales floor,2,1,2,14,28.00,4,
G1,Gondola run,Sales floor,2,1,3,14,28.00,4,
G1,Gondola run,Sales floor,2,2,1,14,28.00,4,
G1,Gondola run,Sales floor,2,2,2,14,28.00,4,
G1,Gondola run,Sales floor,2,2,3,14,28.00,4,
G1,Gondola run,Sales floor,2,3,1,14,28.00,4,
G1,Gondola run,Sales floor,2,3,2,14,28.00,4,
G1,Gondola run,Sales floor,2,3,3,14,28.00,4,
G1,Gondola run,Sales floor,2,4,1,14,28.00,4,
G1,Gondola run,Sales floor,2,4,2,14,28.00,4,
G1,Gondola run,Sales floor,2,4,3,14,28.00,4,
G1,Gondola run,Sales floor,2,5,1,14,28.00,4,
G1,Gondola run,Sales floor,2,5,2,14,28.00,4,
G1,Gondola run,Sales floor,2,5,3,14,28.00,4,
G1,Gondola run,Sales floor,3,1,1,14,32.00,4,
G1,Gondola run,Sales floor,3,1,2,14,32.00,4,
G1,Gondola run,Sales floor,3,1,3,14,32.00,4,
G1,Gondola run,Sales floor,3,2,1,14,32.00,4,
G1,Gondola run,Sales floor,3,2,2,14,32.00,4,
G1,Gondola run,Sales floor,3,2,3,14,32.00,4,
G1,Gondola run,Sales floor,3,3,1,14,32.00,4,
G1,Gondola run,Sales floor,3,3,2,14,32.00,4,
G1,Gondola run,Sales floor,3,3,3,14,32.00,4,
G1,Gondola run,Sales floor,3,4,1,14,32.00,4,
G1,Gondola run,Sales floor,3,4,2,14,32.00,4,
G1,Gondola run,Sales floor,3,4,3,14,32.00,4,
G1,Gondola run,Sales floor,3,5,1,14,32.00,4,
G1,Gondola run,Sales floor,3,5,2,14,32.00,4,
G1,Gondola run,Sales floor,3,5,3,14,32.00,4,
G1,Gondola run,Sales floor,4,1,1,14,36.00,4,
G1,Gondola run,Sales floor,4,1,2,14,36.00,4,
G1,Gondola run,Sales floor,4,1,3,14,36.00,4,
G1,Gondola run,Sales floor,4,2,1,14,36.00,4,
G1,Gondola run,Sales floor,4,2,2,14,36.00,4,
G1,Gondola run,Sales floor,4,2,3,14,36.00,4,
G1,Gondola run,Sales floor,4,3,1,14,36.00,4,
G1,Gondola run,Sales floor,4,3,2,14,36.00,4,
G1,Gondola run,Sales floor,4,3,3,14,36.00,4,
G1,Gondola run,Sales floor,4,4,1,14,36.00,4,
G1,Gondola run,Sales floor,4,4,2,14,36.00,4,
G1,Gondola run,Sales floor,4,4,3,14,36.00,4,
G1,Gondola run,Sales floor,4,5,1,14,36.00,4,
G1,Gondola run,Sales floor,4,5,2,14,36.00,4,
G1,Gondola run,Sales floor,4,5,3,14,36.00,4,
G1,Gondola run,Sales floor,5,1,1,14,40.00,4,
G1,Gondola run,Sales floor,5,1,2,14,40.00,4,
G1,Gondola run,Sales floor,5,1,3,14,40.00,4,
G1,Gondola run,Sales floor,5,2,1,14,40.00,4,
G1,Gondola run,Sales floor,5,2,2,14,40.00,4,
G1,Gondola run,Sales floor,5,2,3,14,40.00,4,
G1,Gondola run,Sales floor,5,3,1,14,40.00,4,
G1,Gondola run,Sales floor,5,3,2,14,40.00,4,
G1,Gondola run,Sales floor,5,3,3,14,40.00,4,
G1,Gondola run,Sales floor,5,4,1,14,40.00,4,
G1,Gondola run,Sales floor,5,4,2,14,40.00,4,
G1,Gondola run,Sales floor,5,4,3,14,40.00,4,
G1,Gondola run,Sales floor,5,5,1,14,40.00,4,
G1,Gondola run,Sales floor,5,5,2,14,40.00,4,
G1,Gondola run,Sales floor,5,5,3,14,40.00,4,
G1,Gondola run,Sales floor,6,1,1,14,44.00,4,
G1,Gondola run,Sales floor,6,1,2,14,44.00,4,
G1,Gondola run,Sales floor,6,1,3,14,44.00,4,
G1,Gondola run,Sales floor,6,2,1,14,44.00,4,
G1,Gondola run,Sales floor,6,2,2,14,44.00,4,
G1,Gondola run,Sales floor,6,2,3,14,44.00,4,
G1,Gondola run,Sales floor,6,3,1,14,44.00,4,
G1,Gondola run,Sales floor,6,3,2,14,44.00,4,
G1,Gondola run,Sales floor,6,3,3,14,44.00,4,
G1,Gondola run,Sales floor,6,4,1,14,44.00,4,
G1,Gondola run,Sales floor,6,4,2,14,44.00,4,
G1,Gondola run,Sales floor,6,4,3,14,44.00,4,
G1,Gondola run,Sales floor,6,5,1,14,44.00,4,
G1,Gondola run,Sales floor,6,5,2,14,44.00,4,
G1,Gondola run,Sales floor,6,5,3,14,44.00,4,
G1,Gondola run,Sales floor,7,1,1,14,48.00,4,
G1,Gondola run,Sales floor,7,1,2,14,48.00,4,
G1,Gondola run,Sales floor,7,1,3,14,48.00,4,
G1,Gondola run,Sales floor,7,2,1,14,48.00,4,
G1,Gondola run,Sales floor,7,2,2,14,48.00,4,
G1,Gondola run,Sales floor,7,2,3,14,48.00,4,
G1,Gondola run,Sales floor,7,3,1,14,48.00,4,
G1,Gondola run,Sales floor,7,3,2,14,48.00,4,
G1,Gondola run,Sales floor,7,3,3,14,48.00,4,
G1,Gondola run,Sales floor,7,4,1,14,48.00,4,
G1,Gondola run,Sales floor,7,4,2,14,48.00,4,
G1,Gondola run,Sales floor,7,4,3,14,48.00,4,
G1,Gondola run,Sales floor,7,5,1,14,48.00,4,
G1,Gondola run,Sales floor,7,5,2,14,48.00,4,
G1,Gondola run,Sales floor,7,5,3,14,48.00,4,
G1,Gondola run,Sales floor,8,1,1,14,52.00,4,
G1,Gondola run,Sales floor,8,1,2,14,52.00,4,
G1,Gondola run,Sales floor,8,1,3,14,52.00,4,
G1,Gondola run,Sales floor,8,2,1,14,52.00,4,
G1,Gondola run,Sales floor,8,2,2,14,52.00,4,
G1,Gondola run,Sales floor,8,2,3,14,52.00,4,
G1,Gondola run,Sales floor,8,3,1,14,52.00,4,
G1,Gondola run,Sales floor,8,3,2,14,52.00,4,
G1,Gondola run,Sales floor,8,3,3,14,52.00,4,
G1,Gondola run,Sales floor,8,4,1,14,52.00,4,
G1,Gondola run,Sales floor,8,4,2,14,52.00,4,
G1,Gondola run,Sales floor,8,4,3,14,52.00,4,
G1,Gondola run,Sales floor,8,5,1,14,52.00,4,
G1,Gondola run,Sales floor,8,5,2,14,52.00,4,
G1,Gondola run,Sales floor,8,5,3,14,52.00,4,
G1,Gondola run,Sales floor,9,1,1,14,56.00,4,
G1,Gondola run,Sales floor,9,1,2,14,56.00,4,
G1,Gondola run,Sales floor,9,1,3,14,56.00,4,
G1,Gondola run,Sales floor,9,2,1,14,56.00,4,
G1,Gondola run,Sales floor,9,2,2,14,56.00,4,
G1,Gondola run,Sales floor,9,2,3,14,56.00,4,
G1,Gondola run,Sales floor,9,3,1,14,56.00,4,
G1,Gondola run,Sales floor,9,3,2,14,56.00,4,
G1,Gondola run,Sales floor,9,3,3,14,56.00,4,
G1,Gondola run,Sales floor,9,4,1,14,56.00,4,
G1,Gondola run,Sales floor,9,4,2,14,56.00,4,
G1,Gondola run,Sales floor,9,4,3,14,56.00,4,
G1,Gondola run,Sales floor,9,5,1,14,56.00,4,
G1,Gondola run,Sales floor,9,5,2,14,56.00,4,
G1,Gondola run,Sales floor,9,5,3,14,56.00,4,
G2,Gondola run,Sales floor,1,1,1,24,24.00,4,
G2,Gondola run,Sales floor,1,1,2,24,24.00,4,
G2,Gondola run,Sales floor,1,1,3,24,24.00,4,
G2,Gondola run,Sales floor,1,2,1,24,24.00,4,
G2,Gondola run,Sales floor,1,2,2,24,24.00,4,
G2,Gondola run,Sales floor,1,2,3,24,24.00,4,
G2,Gondola run,Sales floor,1,3,1,24,24.00,4,
G2,Gondola run,Sales floor,1,3,2,24,24.00,4,
G2,Gondola run,Sales floor,1,3,3,24,24.00,4,
G2,Gondola run,Sales floor,1,4,1,24,24.00,4,
G2,Gondola run,Sales floor,1,4,2,24,24.00,4,
G2,Gondola run,Sales floor,1,4,3,24,24.00,4,
G2,Gondola run,Sales floor,1,5,1,24,24.00,4,
G2,Gondola run,Sales floor,1,5,2,24,24.00,4,
G2,Gondola run,Sales floor,1,5,3,24,24.00,4,
G2,Gondola run,Sales floor,2,1,1,24,28.00,4,
G2,Gondola run,Sales floor,2,1,2,24,28.00,4,
G2,Gondola run,Sales floor,2,1,3,24,28.00,4,
G2,Gondola run,Sales floor,2,2,1,24,28.00,4,
G2,Gondola run,Sales floor,2,2,2,24,28.00,4,
G2,Gondola run,Sales floor,2,2,3,24,28.00,4,
G2,Gondola run,Sales floor,2,3,1,24,28.00,4,
G2,Gondola run,Sales floor,2,3,2,24,28.00,4,
G2,Gondola run,Sales floor,2,3,3,24,28.00,4,
G2,Gondola run,Sales floor,2,4,1,24,28.00,4,
G2,Gondola run,Sales floor,2,4,2,24,28.00,4,
G2,Gondola run,Sales floor,2,4,3,24,28.00,4,
G2,Gondola run,Sales floor,2,5,1,24,28.00,4,
G2,Gondola run,Sales floor,2,5,2,24,28.00,4,
G2,Gondola run,Sales floor,2,5,3,24,28.00,4,
G2,Gondola run,Sales floor,3,1,1,24,32.00,4,
G2,Gondola run,Sales floor,3,1,2,24,32.00,4,
G2,Gondola run,Sales floor,3,1,3,24,32.00,4,
G2,Gondola run,Sales floor,3,2,1,24,32.00,4,
G2,Gondola run,Sales floor,3,2,2,24,32.00,4,
G2,Gondola run,Sales floor,3,2,3,24,32.00,4,
G2,Gondola run,Sales floor,3,3,1,24,32.00,4,
G2,Gondola run,Sales floor,3,3,2,24,32.00,4,
G2,Gondola run,Sales floor,3,3,3,24,32.00,4,
G2,Gondola run,Sales floor,3,4,1,24,32.00,4,
G2,Gondola run,Sales floor,3,4,2,24,32.00,4,
G2,Gondola run,Sales floor,3,4,3,24,32.00,4,
G2,Gondola run,Sales floor,3,5,1,24,32.00,4,
G2,Gondola run,Sales floor,3,5,2,24,32.00,4,
G2,Gondola run,Sales floor,3,5,3,24,32.00,4,
G2,Gondola run,Sales floor,4,1,1,24,36.00,4,
G2,Gondola run,Sales floor,4,1,2,24,36.00,4,
G2,Gondola run,Sales floor,4,1,3,24,36.00,4,
G2,Gondola run,Sales floor,4,2,1,24,36.00,4,
G2,Gondola run,Sales floor,4,2,2,24,36.00,4,
G2,Gondola run,Sales floor,4,2,3,24,36.00,4,
G2,Gondola run,Sales floor,4,3,1,24,36.00,4,
G2,Gondola run,Sales floor,4,3,2,24,36.00,4,
G2,Gondola run,Sales floor,4,3,3,24,36.00,4,
G2,Gondola run,Sales floor,4,4,1,24,36.00,4,
G2,Gondola run,Sales floor,4,4,2,24,36.00,4,
G2,Gondola run,Sales floor,4,4,3,24,36.00,4,
G2,Gondola run,Sales floor,4,5,1,24,36.00,4,
G2,Gondola run,Sales floor,4,5,2,24,36.00,4,
G2,Gondola run,Sales floor,4,5,3,24,36.00,4,
G2,Gondola run,Sales floor,5,1,1,24,40.00,4,
G2,Gondola run,Sales floor,5,1,2,24,40.00,4,
G2,Gondola run,Sales floor,5,1,3,24,40.00,4,
G2,Gondola run,Sales floor,5,2,1,24,40.00,4,
G2,Gondola run,Sales floor,5,2,2,24,40.00,4,
G2,Gondola run,Sales floor,5,2,3,24,40.00,4,
G2,Gondola run,Sales floor,5,3,1,24,40.00,4,
G2,Gondola run,Sales floor,5,3,2,24,40.00,4,
G2,Gondola run,Sales floor,5,3,3,24,40.00,4,
G2,Gondola run,Sales floor,5,4,1,24,40.00,4,
G2,Gondola run,Sales floor,5,4,2,24,40.00,4,
G2,Gondola run,Sales floor,5,4,3,24,40.00,4,
G2,Gondola run,Sales floor,5,5,1,24,40.00,4,
G2,Gondola run,Sales floor,5,5,2,24,40.00,4,
G2,Gondola run,Sales floor,5,5,3,24,40.00,4,
G2,Gondola run,Sales floor,6,1,1,24,44.00,4,
G2,Gondola run,Sales floor,6,1,2,24,44.00,4,
G2,Gondola run,Sales floor,6,1,3,24,44.00,4,
G2,Gondola run,Sales floor,6,2,1,24,44.00,4,
G2,Gondola run,Sales floor,6,2,2,24,44.00,4,
G2,Gondola run,Sales floor,6,2,3,24,44.00,4,
G2,Gondola run,Sales floor,6,3,1,24,44.00,4,
G2,Gondola run,Sales floor,6,3,2,24,44.00,4,
G2,Gondola run,Sales floor,6,3,3,24,44.00,4,
G2,Gondola run,Sales floor,6,4,1,24,44.00,4,
G2,Gondola run,Sales floor,6,4,2,24,44.00,4,
G2,Gondola run,Sales floor,6,4,3,24,44.00,4,
G2,Gondola run,Sales floor,6,5,1,24,44.00,4,
G2,Gondola run,Sales floor,6,5,2,24,44.00,4,
G2,Gondola run,Sales floor,6,5,3,24,44.00,4,
G2,Gondola run,Sales floor,7,1,1,24,48.00,4,
G2,Gondola run,Sales floor,7,1,2,24,48.00,4,
G2,Gondola run,Sales floor,7,1,3,24,48.00,4,
G2,Gondola run,Sales floor,7,2,1,24,48.00,4,
G2,Gondola run,Sales floor,7,2,2,24,48.00,4,
G2,Gondola run,Sales floor,7,2,3,24,48.00,4,
G2,Gondola run,Sales floor,7,3,1,24,48.00,4,
G2,Gondola run,Sales floor,7,3,2,24,48.00,4,
G2,Gondola run,Sales floor,7,3,3,24,48.00,4,
G2,Gondola run,Sales floor,7,4,1,24,48.00,4,
G2,Gondola run,Sales floor,7,4,2,24,48.00,4,
G2,Gondola run,Sales floor,7,4,3,24,48.00,4,
G2,Gondola run,Sales floor,7,5,1,24,48.00,4,
G2,Gondola run,Sales floor,7,5,2,24,48.00,4,
G2,Gondola run,Sales floor,7,5,3,24,48.00,4,
G2,Gondola run,Sales floor,8,1,1,24,52.00,4,
G2,Gondola run,Sales floor,8,1,2,24,52.00,4,
G2,Gondola run,Sales floor,8,1,3,24,52.00,4,
G2,Gondola run,Sales floor,8,2,1,24,52.00,4,
G2,Gondola run,Sales floor,8,2,2,24,52.00,4,
G2,Gondola run,Sales floor,8,2,3,24,52.00,4,
G2,Gondola run,Sales floor,8,3,1,24,52.00,4,
G2,Gondola run,Sales floor,8,3,2,24,52.00,4,
G2,Gondola run,Sales floor,8,3,3,24,52.00,4,
G2,Gondola run,Sales floor,8,4,1,24,52.00,4,
G2,Gondola run,Sales floor,8,4,2,24,52.00,4,
G2,Gondola run,Sales floor,8,4,3,24,52.00,4,
G2,Gondola run,Sales floor,8,5,1,24,52.00,4,
G2,Gondola run,Sales floor,8,5,2,24,52.00,4,
G2,Gondola run,Sales floor,8,5,3,24,52.00,4,
G2,Gondola run,Sales floor,9,1,1,24,56.00,4,
G2,Gondola run,Sales floor,9,1,2,24,56.00,4,
G2,Gondola run,Sales floor,9,1,3,24,56.00,4,
G2,Gondola run,Sales floor,9,2,1,24,56.00,4,
G2,Gondola run,Sales floor,9,2,2,24,56.00,4,
G2,Gondola run,Sales floor,9,2,3,24,56.00,4,
G2,Gondola run,Sales floor,9,3,1,24,56.00,4,
G2,Gondola run,Sales floor,9,3,2,24,56.00,4,
G2,Gondola run,Sales floor,9,3,3,24,56.00,4,
G2,Gondola run,Sales floor,9,4,1,24,56.00,4,
G2,Gondola run,Sales floor,9,4,2,24,56.00,4,
G2,Gondola run,Sales floor,9,4,3,24,56.00,4,
G2,Gondola run,Sales floor,9,5,1,24,56.00,4,
G2,Gondola run,Sales floor,9,5,2,24,56.00,4,
G2,Gondola run,Sales floor,9,5,3,24,56.00,4,
G3,Gondola run,Sales floor,1,1,1,34,24.00,4,
G3,Gondola run,Sales floor,1,1,2,34,24.00,4,
G3,Gondola run,Sales floor,1,1,3,34,24.00,4,
G3,Gondola run,Sales floor,1,2,1,34,24.00,4,
G3,Gondola run,Sales floor,1,2,2,34,24.00,4,
G3,Gondola run,Sales floor,1,2,3,34,24.00,4,
G3,Gondola run,Sales floor,1,3,1,34,24.00,4,
G3,Gondola run,Sales floor,1,3,2,34,24.00,4,
G3,Gondola run,Sales floor,1,3,3,34,24.00,4,
G3,Gondola run,Sales floor,1,4,1,34,24.00,4,
G3,Gondola run,Sales floor,1,4,2,34,24.00,4,
G3,Gondola run,Sales floor,1,4,3,34,24.00,4,
G3,Gondola run,Sales floor,1,5,1,34,24.00,4,
G3,Gondola run,Sales floor,1,5,2,34,24.00,4,
G3,Gondola run,Sales floor,1,5,3,34,24.00,4,
G3,Gondola run,Sales floor,2,1,1,34,28.00,4,
G3,Gondola run,Sales floor,2,1,2,34,28.00,4,
G3,Gondola run,Sales floor,2,1,3,34,28.00,4,
G3,Gondola run,Sales floor,2,2,1,34,28.00,4,
G3,Gondola run,Sales floor,2,2,2,34,28.00,4,
G3,Gondola run,Sales floor,2,2,3,34,28.00,4,
G3,Gondola run,Sales floor,2,3,1,34,28.00,4,
G3,Gondola run,Sales floor,2,3,2,34,28.00,4,
G3,Gondola run,Sales floor,2,3,3,34,28.00,4,
G3,Gondola run,Sales floor,2,4,1,34,28.00,4,
G3,Gondola run,Sales floor,2,4,2,34,28.00,4,
G3,Gondola run,Sales floor,2,4,3,34,28.00,4,
G3,Gondola run,Sales floor,2,5,1,34,28.00,4,
